token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
11522,NIITLTD-EQ,NIITLTD,,-1.000000,1,,NSE,1.000000
11561,HDFC1359DQ-MF,HDFC1359DQ,,-1.000000,1,,NSE,1.000000
1164,NEWGEN-EQ,NEWGEN,,-1.000000,1,,NSE,5.000000
1165,66PN30-SG,66PN30,,-1.000000,100,,NSE,1.000000
11589,762GJ29-SG,762GJ29,,-1.000000,100,,NSE,1.000000
11682,785BR32A-SG,785BR32A,,-1.000000,100,,NSE,1.000000
11683,783GA32-SG,783GA32,,-1.000000,100,,NSE,1.000000
11723,JSWSTEEL-EQ,JSWSTEEL,,-1.000000,1,,NSE,10.000000
11748,725IRFC35-NH,725IRFC35,,-1.000000,1,,NSE,1.000000
11760,775AP29-SG,775AP29,,-1.000000,100,,NSE,1.000000
11763,JPPOWER-EQ,JPPOWER,,-1.000000,1,,NSE,1.000000
11794,SAKSOFT-EQ,SAKSOFT,,-1.000000,1,,NSE,1.000000
1186,GLAND-EQ,GLAND,,-1.000000,1,,NSE,10.000000
11842,CYBERMEDIA-EQ,CYBERMEDIA,,-1.000000,1,,NSE,1.000000
11870,785HP36-SG,785HP36,,-1.000000,100,,NSE,1.000000
11873,787MZ36-SG,787MZ36,,-1.000000,100,,NSE,1.000000
11884,MANINDS-EQ,MANINDS,,-1.000000,1,,NSE,5.000000
11885,786JH34-SG,786JH34,,-1.000000,100,,NSE,1.000000
11895,DCXINDIA-EQ,DCXINDIA,,-1.000000,1,,NSE,1.000000
11942,AMIABLE-ST,AMIABLE,,-1.000000,1600,,NSE,5.000000
11945,ANZEN-IV,ANZEN,,-1.000000,25000,,NSE,1.000000
11956,MEDANTA-EQ,MEDANTA,,-1.000000,1,,NSE,10.000000
11987,ICIL-EQ,ICIL,,-1.000000,1,,NSE,5.000000
12022,AURIONPRO-EQ,AURIONPRO,,-1.000000,1,,NSE,5.000000
12108,HDFCPVTBAN-EQ,HDFCPVTBAN,,-1.000000,1,,NSE,1.000000
12188,INOXGREEN-EQ,INOXGREEN,,-1.000000,1,,NSE,1.000000
12328,763TS44-SG,763TS44,,-1.000000,100,,NSE,1.000000
12490,VINNY-EQ,VINNY,,-1.000000,1,,NSE,1.000000
12578,FINIETF-EQ,FINIETF,,-1.000000,1,,NSE,1.000000
12660,75AP28-SG,75AP28,,-1.000000,100,,NSE,1.000000
12667,76GJ32-SG,76GJ32,,-1.000000,100,,NSE,1.000000
1267,GUJALKALI-EQ,GUJALKALI,,-1.000000,1,,NSE,5.000000
12678,762GA32-SG,762GA32,,-1.000000,100,,NSE,1.000000
12701,768JK37-SG,768JK37,,-1.000000,100,,NSE,1.000000
12726,763KL43-SG,763KL43,,-1.000000,100,,NSE,1.000000
12863,V1NSETEST-EQ,V1NSETEST,,-1.000000,1,,NSE,5.000000
13091,EKC-EQ,EKC,,-1.000000,1,,NSE,1.000000
1313,HARRMALAYA-EQ,HARRMALAYA,,-1.000000,1,,NSE,1.000000
13103,SFMP73DR-MF,SFMP73DR,,-1.000000,1,,NSE,1.000000
13122,751HR29-SG,751HR29,,-1.000000,100,,NSE,1.000000
13158,UTIRFP35P2-MF,UTIRFP35P2,,-1.000000,1,,NSE,1.000000
13168,EBB433INAV-EQ,EBB433INAV,,-1.000000,1,,NSE,1.000000
1327,HCL-INSYS-EQ,HCL-INSYS,,-1.000000,1,,NSE,1.000000
13211,JAGRAN-EQ,JAGRAN,,-1.000000,1,,NSE,1.000000
